round,away,away_prob,home_prob,home,awayWL,homeWL,point_spread,
0,MIN,0.25,0.75,HOU,Loser,Winner,3.895488,
0,SAS,0.25,0.75,GSW,Loser,Winner,3.677040,
0,NOP,0.75,0.25,POR,Winner,Loser,2.040257,
0,UTA,0.75,0.25,OKC,Winner,Loser,0.436910,
0,WAS,0.25,0.75,TOR,Loser,Winner,1.576325,
0,MIL,0.25,0.75,BOS,Loser,Winner,0.289921,
0,MIA,0.25,0.75,PHI,Loser,Winner,2.110307,
0,IND,0.25,0.75,CLE,Loser,Winner,0.066977,
1,UTA,0.25,0.75,HOU,Loser,Winner,0.403743,
1,NOP,0.25,0.75,GSW,Loser,Winner,2.730806,
1,CLE,0.75,0.25,TOR,Winner,Loser,0.078969,
1,PHI,0.25,0.75,BOS,Loser,Winner,1.132085,
2,GSW,0.75,0.25,HOU,Winner,Loser,5.627104,
2,CLE,0.75,0.25,BOS,Winner,Loser,2.400842,
3,CLE,0.25,0.75,GSW,Loser,Winner,3.455105,